repertoire_id,label,p_deeprc,fold
90e072812957e184a00d7dd6e6fc1113,0,0.49843433,0
e067bc70fd5eb332289ab527ee07b10e,1,0.4984218,0
a7884f7b291d299c33b4842924b48cf9,1,0.4984149,0
615acd294ac096d6db4e2697b1e0150f,0,0.4984215,0
694a8a3b58cc4ebb6006ec8f6a96495d,0,0.49841326,0
cb0f7bc57b0fd6a8b30566de9e909323,1,0.49842384,0
f98c0f269d2cb5ec4d3d365eba39e063,0,0.49842018,0
b95c26f9060b017121ae2f363de3e758,1,0.49842775,0
8aad5085129d8454bff75ddc03392569,1,0.4984315,0
852af6077b8338cf6fc426db6f1e0ebc,0,0.49842978,0
a7207435b247ff50b4612c0107e76ebd,0,0.49842617,0
37d346114354826453a126f8c30f0aef,0,0.4984245,0
bd58795773ae21095f11369e53699838,0,0.4984165,0
a81702eab098ce00ee16ca1476f2c3dc,0,0.49842545,0
b5f8f1727b1d189f3abb361db95b42cf,1,0.4984296,0
5588ec125be837e736696f613d14e287,1,0.49842414,0
07ac7668d25f376f86eb1c0d56546680,0,0.4984353,0
384d1cde718d678ea4b843efba9ce207,1,0.49842486,0
d237dc78d8c5a0be5a572958b54daa8e,1,0.4984222,0
2c65ef1f4fd1744fc8177cc73f63f589,0,0.49842712,0
be35f6869d49ea90991935020dbbd520,1,0.49843255,0
f8efca68cb35d7cc103b438d8acfe281,0,0.49842173,0
d4cbdc127681770ff970beea56c76106,0,0.49842215,0
06bfebb1ed62aba58fb3546b93aca7cf,0,0.4984219,0
cc53311a2baf0af1e0b28323b03f55f2,1,0.49843237,0
cf9263763839df4ba91c08d6d334b793,1,0.49842042,0
2e5f5090f494e82c5f51c5367d6bd9f8,1,0.49841526,0
b541ea56638c7705c3b22ab0ec6d76f6,0,0.49842516,0
b9be0aeae4943e0740e6a35b17f0f471,0,0.49841917,0
1203a44f2c646973a287e7688d0243c2,0,0.49842468,0
2f95ef4d48b9f91a77a6b996f632d6e2,1,0.4984263,0
1298dec788249af46d73a80c477c2ac0,0,0.4984206,0
