repertoire_id,label,p_deeprc,fold
e441182799ba6725d4ae80e218ce3116,0,0.34023625,0
a532d971f2210ec540f3c4213dc939c3,0,0.34020203,0
0a6da8319b179968ca93ae64fee0def8,0,0.3409364,0
380b78617a41894c9ee5bc5a74d3d3dc,1,0.34083328,0
301c2d31614e40e68193a8d1cf3a16c5,0,0.3399713,0
617d939dacb41e62c8abdc90b572f14f,0,0.34021845,0
0e6e5209791eab01415a6ec7ac0a5e6d,0,0.34048617,0
067b4b0aa497cfaab9401901e582cfd8,0,0.34031692,0
069f0e30e3aa4afc48880edab398e133,0,0.33983952,0
b42caa9852645ad81e22d01118734f27,1,0.34039706,0
e8349e90f79b375bcb58746f01513b1c,1,0.3405966,0
3c0b86c4731a80d2f4c8799bea4f076d,0,0.34009096,0
484856b04676599c00a39933b5815743,1,0.34070918,0
05a481ed32dee6c386f0524a090dff68,0,0.3407147,0
7c1e9289a6420ae58e3493d70f6681f4,0,0.34074312,0
da3f864f647ff832e426bd0d3619d4cd,0,0.34014073,0
b8e9c553abddb241464c91f961dd6291,0,0.3403016,0
b77084f202fa57237d0a0734cf4cff91,0,0.3403022,0
dcc80f850157c8dc72b0db4aadfbef55,1,0.34034172,0
1409b62bff3e2e064424aa2d258b5088,0,0.34032726,0
07b656ce2c4ad0da1fc368491cec7ab3,1,0.34059304,0
4c4ea1e08d830a3a3c83a56b6d4d7b1d,0,0.34005496,0
54109ffaeb87ee95d3e24374c77c86f6,1,0.3407918,0
8af55bef20897bb95d6e5a06f3b9e881,1,0.34045747,0
4eb3cc44092682768186250ef491fadb,0,0.3405182,0
61e8b28b917315df4c6c1d0a78155ca9,0,0.34029403,0
bd16d2ebfd7051f557c6eb6cb593089b,0,0.33970422,0
9db9c91a945f98f3ecd082f5c171a0e9,1,0.34121865,0
f5a868407e946cf2ba88ba7f5aa9d427,0,0.34007317,0
72d289149f8974cbfa6848fe65ab6cb6,0,0.34064135,0
f2f0adb856f4213af06e2edbcf87a8d7,0,0.34029734,0
d5d8160a29719b0e01296b40c33c43ff,0,0.33998054,0
